subject,count,link
"antoine de sartine",2,"https://www.viomenil.mountvernon.org/browse.html#antoine%20de%20sartine"
"1757-1832",2,"https://www.viomenil.mountvernon.org/browse.html#1757-1832"
"1744-1805",2,"https://www.viomenil.mountvernon.org/browse.html#1744-1805"
"de la valette",2,"https://www.viomenil.mountvernon.org/browse.html#de%20la%20valette"
"claude-françois de la chesnaye",2,"https://www.viomenil.mountvernon.org/browse.html#claude-fran%C3%A7ois%20de%20la%20chesnaye"
"1740-1793",2,"https://www.viomenil.mountvernon.org/browse.html#1740-1793"
"burelet",2,"https://www.viomenil.mountvernon.org/browse.html#burelet"
"1752-1793",2,"https://www.viomenil.mountvernon.org/browse.html#1752-1793"
"sébastien charles hubert de gestas, marquis de lespéroux",2,"https://www.viomenil.mountvernon.org/browse.html#s%C3%A9bastien%20charles%20hubert%20de%20gestas,%20marquis%20de%20lesp%C3%A9roux"
"alexander leslie",2,"https://www.viomenil.mountvernon.org/browse.html#alexander%20leslie"
"1731-1794",2,"https://www.viomenil.mountvernon.org/browse.html#1731-1794"
"1736-1790",2,"https://www.viomenil.mountvernon.org/browse.html#1736-1790"
"louis dominique ethis de corny",2,"https://www.viomenil.mountvernon.org/browse.html#louis%20dominique%20ethis%20de%20corny"
"1751-1830",2,"https://www.viomenil.mountvernon.org/browse.html#1751-1830"
"jacques-pierre orillard de villemanzy",2,"https://www.viomenil.mountvernon.org/browse.html#jacques-pierre%20orillard%20de%20villemanzy"
"portsmouth, new hampshire",2,"https://www.viomenil.mountvernon.org/browse.html#portsmouth,%20new%20hampshire"
"schuylkill river",2,"https://www.viomenil.mountvernon.org/browse.html#schuylkill%20river"
"john nielson",2,"https://www.viomenil.mountvernon.org/browse.html#john%20nielson"
"1745-1833",2,"https://www.viomenil.mountvernon.org/browse.html#1745-1833"
"elkridge landing, maryland",2,"https://www.viomenil.mountvernon.org/browse.html#elkridge%20landing,%20maryland"
"1718-1781",2,"https://www.viomenil.mountvernon.org/browse.html#1718-1781"
